! Species         Shape    LJ-depth  LJ-diam   DiplMom   Polzblty  RotRelaxNum Data     
! Name            Index    epsilon/k_B sigma     mu        alpha     Zrot      Source   
O2(2)               1     107.400     3.458     0.000     1.600     3.800    ! GRI-Mech
H(4)                0     145.000     2.050     0.000     0.000     0.000    ! GRI-Mech
O(5)                0      80.000     2.750     0.000     0.000     0.000    ! GRI-Mech
OH(6)               1      80.000     2.750     0.000     0.000     0.000    ! GRI-Mech
H2(7)               1      38.000     2.920     0.000     0.790   280.000    ! GRI-Mech
H2O(8)              2     572.402     2.605     1.844     0.000     4.000    ! GRI-Mech
HO2(9)              2     107.400     3.458     0.000     0.000     1.000    ! GRI-Mech
H2O2(10)            2     107.400     3.458     0.000     0.000     3.800    ! GRI-Mech
CO(11)              1      98.100     3.650     0.000     1.950     1.800    ! GRI-Mech
CO2(12)             1     244.001     3.763     0.000     2.650     2.100    ! GRI-Mech
HCO(13)             2     498.002     3.590     0.000     0.000     0.000    ! GRI-Mech
C(T)(14)            0      71.400     3.298     0.000     0.000     0.000    ! GRI-Mech
CH(15)              1      80.000     2.750     0.000     0.000     0.000    ! GRI-Mech
CH2(16)             2     144.001     3.800     0.000     0.000     0.000    ! GRI-Mech
CH2O(17)            2     498.002     3.590     0.000     0.000     2.000    ! GRI-Mech
CH3(18)             2     144.001     3.800     0.000     0.000     0.000    ! GRI-Mech
C2H(19)             1     209.001     4.100     0.000     0.000     2.500    ! GRI-Mech
C2H2(20)            1     209.001     4.100     0.000     0.000     2.500    ! GRI-Mech
H2CC(21)            2     209.000     4.100     0.000     0.000     2.500    ! NOx2018
CH2(S)(22)          2     144.001     3.800     0.000     0.000     0.000    ! GRI-Mech
CH3O(23)            2     417.002     3.690     1.700     0.000     2.000    ! GRI-Mech
CH2CO(24)           2     436.001     3.970     0.000     0.000     2.000    ! GRI-Mech
C2H3(25)            2     209.001     4.100     0.000     0.000     1.000    ! GRI-Mech
C2H4(26)            2     280.801     3.971     0.000     0.000     1.500    ! GRI-Mech
CH4(27)             2     141.400     3.746     0.000     2.600    13.000    ! GRI-Mech
C2H5(28)            2     252.301     4.302     0.000     0.000     1.500    ! GRI-Mech
CH2OH(29)           2     417.002     3.690     1.700     0.000     2.000    ! GRI-Mech
CH3OH(30)           2     481.802     3.626     0.000     0.000     1.000    ! GRI-Mech
HCCO(31)            2     150.001     2.500     0.000     0.000     1.000    ! GRI-Mech
CH3CO(32)           2     436.001     3.970     0.000     0.000     2.000    ! GRI-Mech
CH2CHO(33)          2     436.001     3.970     0.000     0.000     2.000    ! GRI-Mech
CH3CHO(34)          2     436.001     3.970     0.000     0.000     2.000    ! GRI-Mech
C2H6(35)            2     252.301     4.302     0.000     0.000     1.500    ! GRI-Mech
Ar                  0     136.501     3.330     0.000     0.000     0.000    ! GRI-Mech
He                  0      10.200     2.576     0.000     0.000     0.000    ! NOx2018
Ne                  0     148.600     3.758     0.000     0.000     0.000    ! Epsilon & sigma estimated with fixed Lennard Jones Parameters. This is the fallback method! Try improving transport databases!
CH3NO2(1)           2     232.400     3.828     0.000     0.000     1.000    ! NOx2018
N2(3)               1      97.530     3.621     0.000     1.760     4.000    ! GRI-Mech
NO2(42)             2     200.001     3.500     0.000     0.000     1.000    ! GRI-Mech
